,Unnamed: 0,NeighborhoodBogota,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
506,506,ENGATIVÁ,4.7071,-74.1072,Bósforo,4.695669287975905,-74.08636852931053,Turkish Restaurant
507,507,ENGATIVÁ,4.7071,-74.1072,Chiles & Tacos,4.712005650864009,-74.11486870078193,Mexican Restaurant
508,508,ENGATIVÁ,4.7071,-74.1072,Master Sushi (Titán Plaza),4.694487702057156,-74.08666106658144,Sushi Restaurant
511,511,ENGATIVÁ,4.7071,-74.1072,Comboy Pizza Quirigua,4.70801050312895,-74.10507822556183,Fast Food Restaurant
517,517,TEUSAQUILLO,4.6448,-74.0938,Crepes & Waffles,4.639817607897745,-74.09846959815708,French Restaurant
518,518,TEUSAQUILLO,4.6448,-74.0938,WOK,4.64782119927913,-74.10166453875642,Asian Restaurant
519,519,TEUSAQUILLO,4.6448,-74.0938,La Quiche,4.644942153718024,-74.08750489864323,French Restaurant
520,520,TEUSAQUILLO,4.6448,-74.0938,Balsámico,4.647690386021012,-74.1012704372406,Restaurant
521,521,TEUSAQUILLO,4.6448,-74.0938,Crepes & Waffles,4.64691223641489,-74.10168419101599,French Restaurant
522,522,TEUSAQUILLO,4.6448,-74.0938,La Plaza de Andrés,4.646030958650947,-74.1027735033314,Restaurant
524,524,TEUSAQUILLO,4.6448,-74.0938,Capitalino,4.644014,-74.09984,Restaurant
532,532,TEUSAQUILLO,4.6448,-74.0938,Crepes & Waffles,4.645998896454952,-74.10270722314328,French Restaurant
536,536,TEUSAQUILLO,4.6448,-74.0938,Chuleta y Champus,4.643391826756495,-74.09086005756592,Latin American Restaurant
545,545,TEUSAQUILLO,4.6448,-74.0938,Yenny & Beto,4.6333021264966,-74.08950083417795,Fast Food Restaurant
548,548,TEUSAQUILLO,4.6448,-74.0938,Crepes & Waffles,4.65299083749478,-74.10941468494434,Latin American Restaurant
555,555,TEUSAQUILLO,4.6448,-74.0938,Hamburguesas El Corral,4.654094333484258,-74.11014525136824,Fast Food Restaurant
562,562,TEUSAQUILLO,4.6448,-74.0938,El Corral Gourmet,4.65370362718307,-74.11031043026847,American Restaurant
563,563,TEUSAQUILLO,4.6448,-74.0938,Restaurante El Poblado,4.627852,-74.08584,Latin American Restaurant
569,569,LA CANDELARIA,4.5939,-74.0739,Prudencia,4.595643,-74.070733,Comfort Food Restaurant
576,576,LA CANDELARIA,4.5939,-74.0739,Madre salon & cantina familiar,4.598069952759461,-74.07383866335611,Comfort Food Restaurant
579,579,LA CANDELARIA,4.5939,-74.0739,La Puerta de la Catedral,4.597847777902473,-74.07461068185023,Latin American Restaurant
580,580,LA CANDELARIA,4.5939,-74.0739,Quinua y Amaranto,4.5959619778469705,-74.07172678547744,Vegetarian / Vegan Restaurant
582,582,LA CANDELARIA,4.5939,-74.0739,Maria Tomasa - Cocina Caribe - Sede Museo,4.594956500833906,-74.07651106456801,Caribbean Restaurant
585,585,LA CANDELARIA,4.5939,-74.0739,Crepes & Waffles,4.600534188973231,-74.07098426497157,Restaurant
588,588,LA CANDELARIA,4.5939,-74.0739,Maria Tomasa (La Candelaria),4.597272854527,-74.07194186385809,Caribbean Restaurant
591,591,LA CANDELARIA,4.5939,-74.0739,La Tarteria,4.597793705520044,-74.07200890177835,French Restaurant
592,592,LA CANDELARIA,4.5939,-74.0739,Revellion,4.600991,-74.0704,Restaurant
596,596,LA CANDELARIA,4.5939,-74.0739,La Totuma Corrida,4.597982315516225,-74.06957248436811,Sushi Restaurant
611,611,LA CANDELARIA,4.5939,-74.0739,La Escuela Restaurante,4.597334347361071,-74.07796350294613,South American Restaurant
616,616,SANTA FE,4.612613,-74.057481,Santa Fe Restaurante,4.610244566447289,-74.06425595283508,Restaurant
618,618,SANTA FE,4.612613,-74.057481,Casa San Isidro,4.604215496615501,-74.05532179421434,French Restaurant
620,620,SANTA FE,4.612613,-74.057481,La Tapería,4.613659327894658,-74.06641542348893,Tapas Restaurant
623,623,SANTA FE,4.612613,-74.057481,WOK Museo Nacional,4.6161323482680015,-74.06820566210953,Asian Restaurant
624,624,SANTA FE,4.612613,-74.057481,La Molina,4.612717545810375,-74.06650935077766,Peruvian Restaurant
626,626,SANTA FE,4.612613,-74.057481,Artesano,4.614104825494111,-74.06631384622601,Restaurant
627,627,SANTA FE,4.612613,-74.057481,El Patio,4.614710777077845,-74.06620060411426,Italian Restaurant
629,629,SANTA FE,4.612613,-74.057481,EL BOLICHE la MACARENA,4.613754857228324,-74.06768691874542,Restaurant
631,631,SANTA FE,4.612613,-74.057481,Leo Cocina y Cava,4.614607728829146,-74.0690856124495,Restaurant
634,634,SANTA FE,4.612613,-74.057481,Tábula,4.615956986459275,-74.06746711832915,Restaurant
639,639,SANTA FE,4.612613,-74.057481,Crepes & Waffles,4.615179799628057,-74.07002734897813,Restaurant
